"plot_id","trt","sample_origin","Compound_name","length","width","Concentration"
"bx03","b","Wheat_sowing","DIMBOA",6,1,0.1804
"bx02","b","Wheat_end_veg_stage","DIMBOA",4,1,0.38
"WT02","W","Wheat_end_veg_stage","DIMBOA",5,1,0.64
"WT02","W","Wheat_sowing","DIMBOA",5,1,0.2542
"bx02","b","Wheat_sowing","DIMBOA",4,1,0.2214
"bx01","b","Wheat_end_veg_stage","DIMBOA",2,1,0.245
"WT01","W","Wheat_end_veg_stage","DIMBOA",3,1,0.495
"WT01","W","Wheat_sowing","DIMBOA",3,1,NA
"bx01","b","Wheat_sowing","DIMBOA",2,1,NA
"bx10","b","Wheat_end_veg_stage","HDMBOA-Glc",6,3,4.32
"WT10","W","Wheat_end_veg_stage","HDMBOA-Glc",7,3,6.485
"WT10","W","Wheat_sowing","HDMBOA-Glc",7,3,0.5904
"bx10","b","Wheat_sowing","HDMBOA-Glc",6,3,NA
"bx09","b","Wheat_end_veg_stage","HDMBOA-Glc",4,3,0.9
"WT09","W","Wheat_end_veg_stage","HDMBOA-Glc",5,3,1.05
"WT09","W","Wheat_sowing","HDMBOA-Glc",5,3,1.3776
"bx09","b","Wheat_sowing","HDMBOA-Glc",4,3,NA
"bx08","b","Wheat_end_veg_stage","HDMBOA-Glc",2,3,0.85
"WT08","W","Wheat_end_veg_stage","HDMBOA-Glc",3,3,3.03
"WT08","W","Wheat_sowing","HDMBOA-Glc",3,3,4.4936
"bx08","b","Wheat_sowing","HDMBOA-Glc",2,3,NA
"bx07","b","Wheat_end_veg_stage","HDMBOA-Glc",7,2,4.57
"WT07","W","Wheat_end_veg_stage","HDMBOA-Glc",1,3,1.335
"WT07","W","Wheat_sowing","HDMBOA-Glc",1,3,0.1148
"bx07","b","Wheat_sowing","HDMBOA-Glc",7,2,0.492
"bx06","b","Wheat_end_veg_stage","HDMBOA-Glc",5,2,1.98
"WT06","W","Wheat_end_veg_stage","HDMBOA-Glc",6,2,5.835
"WT06","W","Wheat_sowing","HDMBOA-Glc",6,2,0.5002
"bx06","b","Wheat_sowing","HDMBOA-Glc",5,2,NA
"bx05","b","Wheat_end_veg_stage","HDMBOA-Glc",3,2,4.975
"WT05","W","Wheat_end_veg_stage","HDMBOA-Glc",4,2,NA
"WT05","W","Wheat_sowing","HDMBOA-Glc",4,2,1.0824
"bx05","b","Wheat_sowing","HDMBOA-Glc",3,2,0.328
"bx04","b","Wheat_end_veg_stage","HDMBOA-Glc",1,2,1.625
"WT04","W","Wheat_end_veg_stage","HDMBOA-Glc",2,2,1.41
"WT04","W","Wheat_sowing","HDMBOA-Glc",2,2,1.722
"bx04","b","Wheat_sowing","HDMBOA-Glc",1,2,0.3198
"bx03","b","Wheat_end_veg_stage","HDMBOA-Glc",6,1,1.63
"WT03","W","Wheat_end_veg_stage","HDMBOA-Glc",7,1,2.705
"WT03","W","Wheat_sowing","HDMBOA-Glc",7,1,0.3854
"bx03","b","Wheat_sowing","HDMBOA-Glc",6,1,0.2296
"bx02","b","Wheat_end_veg_stage","HDMBOA-Glc",4,1,2.255
"WT02","W","Wheat_end_veg_stage","HDMBOA-Glc",5,1,3.28
"WT02","W","Wheat_sowing","HDMBOA-Glc",5,1,0.5002
"bx02","b","Wheat_sowing","HDMBOA-Glc",4,1,0.123
"bx01","b","Wheat_end_veg_stage","HDMBOA-Glc",2,1,1.665
"WT01","W","Wheat_end_veg_stage","HDMBOA-Glc",3,1,3.81
"WT01","W","Wheat_sowing","HDMBOA-Glc",3,1,NA
"bx01","b","Wheat_sowing","HDMBOA-Glc",2,1,NA
"bx10","b","Wheat_end_veg_stage","MBOA",6,3,3.87
"WT10","W","Wheat_end_veg_stage","MBOA",7,3,3.87
"WT10","W","Wheat_sowing","MBOA",7,3,1.1644
"bx10","b","Wheat_sowing","MBOA",6,3,0.3772
"bx09","b","Wheat_end_veg_stage","MBOA",4,3,1.49
"WT09","W","Wheat_end_veg_stage","MBOA",5,3,1.65
"WT09","W","Wheat_sowing","MBOA",5,3,5.0266
"bx09","b","Wheat_sowing","MBOA",4,3,1.7958
"bx08","b","Wheat_end_veg_stage","MBOA",2,3,1.835
"WT08","W","Wheat_end_veg_stage","MBOA",3,3,2.69
"WT08","W","Wheat_sowing","MBOA",3,3,4.6084
"bx08","b","Wheat_sowing","MBOA",2,3,0.779
"bx07","b","Wheat_end_veg_stage","MBOA",7,2,3.325
"WT07","W","Wheat_end_veg_stage","MBOA",1,3,2.605
"WT07","W","Wheat_sowing","MBOA",1,3,1.6236
"bx07","b","Wheat_sowing","MBOA",7,2,2.0992
"bx06","b","Wheat_end_veg_stage","MBOA",5,2,1.725
"WT06","W","Wheat_end_veg_stage","MBOA",6,2,4.25
"WT06","W","Wheat_sowing","MBOA",6,2,3.198
"bx06","b","Wheat_sowing","MBOA",5,2,NA
"bx05","b","Wheat_end_veg_stage","MBOA",3,2,4.925
"WT05","W","Wheat_end_veg_stage","MBOA",4,2,NA
"WT05","W","Wheat_sowing","MBOA",4,2,3.362
"bx05","b","Wheat_sowing","MBOA",3,2,1.2874
"bx04","b","Wheat_end_veg_stage","MBOA",1,2,3.17
"WT04","W","Wheat_end_veg_stage","MBOA",2,2,2.7
"WT04","W","Wheat_sowing","MBOA",2,2,11.8736
"bx04","b","Wheat_sowing","MBOA",1,2,1.2054
"bx03","b","Wheat_end_veg_stage","MBOA",6,1,3.025
"WT03","W","Wheat_end_veg_stage","MBOA",7,1,2.865
"WT03","W","Wheat_sowing","MBOA",7,1,1.8696
"bx03","b","Wheat_sowing","MBOA",6,1,0.615
"bx02","b","Wheat_end_veg_stage","MBOA",4,1,2.915
"WT02","W","Wheat_end_veg_stage","MBOA",5,1,3.045
"WT02","W","Wheat_sowing","MBOA",5,1,4.1574
"bx02","b","Wheat_sowing","MBOA",4,1,0.984
"bx01","b","Wheat_end_veg_stage","MBOA",2,1,1.885
"WT01","W","Wheat_end_veg_stage","MBOA",3,1,3.34
"WT01","W","Wheat_sowing","MBOA",3,1,NA
"bx01","b","Wheat_sowing","MBOA",2,1,0.4756
"bx10","b","Wheat_end_veg_stage","AMPO",6,3,0.085
"WT10","W","Wheat_end_veg_stage","AMPO",7,3,0.24
"WT10","W","Wheat_sowing","AMPO",7,3,0.1968
"bx10","b","Wheat_sowing","AMPO",6,3,0.0656
"bx09","b","Wheat_end_veg_stage","AMPO",4,3,0.1
"WT09","W","Wheat_end_veg_stage","AMPO",5,3,0.21
"WT09","W","Wheat_sowing","AMPO",5,3,0.1558
"bx09","b","Wheat_sowing","AMPO",4,3,0.1394
"bx08","b","Wheat_end_veg_stage","AMPO",2,3,0.16
"WT08","W","Wheat_end_veg_stage","AMPO",3,3,0.47
"WT08","W","Wheat_sowing","AMPO",3,3,0.2542
"bx08","b","Wheat_sowing","AMPO",2,3,0.1558
"bx07","b","Wheat_end_veg_stage","AMPO",7,2,0.095
"WT07","W","Wheat_end_veg_stage","AMPO",1,3,0.39
"WT07","W","Wheat_sowing","AMPO",1,3,0.3116
"bx07","b","Wheat_sowing","AMPO",7,2,0.0984
"bx06","b","Wheat_end_veg_stage","AMPO",5,2,0.09
"WT06","W","Wheat_end_veg_stage","AMPO",6,2,0.21
"WT06","W","Wheat_sowing","AMPO",6,2,0.205
"bx06","b","Wheat_sowing","AMPO",5,2,NA
"bx05","b","Wheat_end_veg_stage","AMPO",3,2,0.1
"WT05","W","Wheat_end_veg_stage","AMPO",4,2,NA
"WT05","W","Wheat_sowing","AMPO",4,2,0.205
"bx05","b","Wheat_sowing","AMPO",3,2,0.082
"bx04","b","Wheat_end_veg_stage","AMPO",1,2,0.215
"WT04","W","Wheat_end_veg_stage","AMPO",2,2,0.365
"WT04","W","Wheat_sowing","AMPO",2,2,0.5166
"bx04","b","Wheat_sowing","AMPO",1,2,0.1804
"bx03","b","Wheat_end_veg_stage","AMPO",6,1,0.1
"WT03","W","Wheat_end_veg_stage","AMPO",7,1,0.19
"WT03","W","Wheat_sowing","AMPO",7,1,0.1722
"bx03","b","Wheat_sowing","AMPO",6,1,0.0738
"bx02","b","Wheat_end_veg_stage","AMPO",4,1,0.095
"WT02","W","Wheat_end_veg_stage","AMPO",5,1,0.22
"WT02","W","Wheat_sowing","AMPO",5,1,0.3198
"bx02","b","Wheat_sowing","AMPO",4,1,0.0656
"bx01","b","Wheat_end_veg_stage","AMPO",2,1,0.125
"WT01","W","Wheat_end_veg_stage","AMPO",3,1,0.245
"WT01","W","Wheat_sowing","AMPO",3,1,NA
"bx01","b","Wheat_sowing","AMPO",2,1,0.1312
