"sample_id","replicate","condition","time_point","time_h","suspension","soil_origin","cond_rep","Compound_name","uM"
"Lo_02D","D","S_DIMBOA",2,0.125,"soil","S","S_DIMBOA_D","AMPO_d3",NA
"BD_02D","D","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_D","DIMBOA_d3",123.9366869
"BD_02D","D","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_D","MBOA_d3",4.2479034
"BD_02D","D","buffer_DIMBOA",2,0.125,"buffer",NA,"buffer_DIMBOA_D","AMPO_d3",NA
"Lo_03A","A","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_A","DIMBOA_d3",2.226742991
"Lo_03A","A","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_A","MBOA_d3",7.203729546
"Lo_03A","A","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_A","AMPO_d3",NA
"BD_03A","A","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_A","DIMBOA_d3",138.279028
"BD_03A","A","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_A","MBOA_d3",4.208949684
"BD_03A","A","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_A","AMPO_d3",NA
"Hi_03B","B","N_DIMBOA",3,0.25,"soil","N","N_DIMBOA_B","DIMBOA_d3",2.29521028
"Hi_03B","B","N_DIMBOA",3,0.25,"soil","N","N_DIMBOA_B","MBOA_d3",16.34243621
"Hi_03B","B","N_DIMBOA",3,0.25,"soil","N","N_DIMBOA_B","AMPO_d3",0.042134694
"Lo_03B","B","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_B","DIMBOA_d3",0.958542056
"Lo_03B","B","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_B","MBOA_d3",8.119996598
"Lo_03B","B","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_B","AMPO_d3",0.028542857
"BD_03B","B","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_B","DIMBOA_d3",134.802757
"BD_03B","B","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_B","MBOA_d3",4.419598408
"BD_03B","B","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_B","AMPO_d3",NA
"Hi_03C","C","N_DIMBOA",3,0.25,"soil","N","N_DIMBOA_C","DIMBOA_d3",0.851172897
"Hi_03C","C","N_DIMBOA",3,0.25,"soil","N","N_DIMBOA_C","MBOA_d3",14.52050593
"Hi_03C","C","N_DIMBOA",3,0.25,"soil","N","N_DIMBOA_C","AMPO_d3",0.035338776
"Lo_03C","C","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_C","DIMBOA_d3",1.403579439
"Lo_03C","C","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_C","MBOA_d3",9.552924458
"Lo_03C","C","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_C","AMPO_d3",0.028542857
"BD_03C","C","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_C","DIMBOA_d3",130.8192056
"BD_03C","C","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_C","MBOA_d3",4.291922948
"BD_03C","C","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_C","AMPO_d3",NA
"Hi_03D","D","N_DIMBOA",3,0.25,"soil","N","N_DIMBOA_D","DIMBOA_d3",0.56796729
"Hi_03D","D","N_DIMBOA",3,0.25,"soil","N","N_DIMBOA_D","MBOA_d3",12.74895523
"Hi_03D","D","N_DIMBOA",3,0.25,"soil","N","N_DIMBOA_D","AMPO_d3",0.035338776
"Lo_03D","D","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_D","DIMBOA_d3",1.601200935
"Lo_03D","D","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_D","MBOA_d3",11.60481961
"Lo_03D","D","S_DIMBOA",3,0.25,"soil","S","S_DIMBOA_D","AMPO_d3",NA
"BD_03D","D","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_D","DIMBOA_d3",118.2803551
"BD_03D","D","buffer_DIMBOA",3,0.25,"buffer",NA,"buffer_DIMBOA_D","MBOA_d3",4.207024043
